@relation .a/dee/dee
@attribute Hydroelectric real [27881.8, 206035.0]
@attribute Nuclear real [114760.0, 187105.0]
@attribute Coal real [33537.0, 234833.0]
@attribute Fuel real [0.0, 67986.5]
@attribute Gas real [0.0, 84452.2]
@attribute Special real [5307.0, 16357.0]
@attribute Consume real [0.765853, 5.11875]
@inputs Hydroelectric, Nuclear, Coal, Fuel, Gas, Special
@outputs Consume
@data
206035.0, 186774.0, 79129.5, 4342.43, 5715.18, 8159.0, 1.5835
198435.0, 180633.0, 64465.2, 4566.84, 0.0, 8215.0, 1.50531
199096.0, 168691.0, 126091.0, 13155.7, 24428.0, 8525.0, 1.87965
196005.0, 174005.0, 163366.0, 18572.0, 35587.1, 8751.0, 2.17647
191098.0, 169601.0, 171592.0, 24518.3, 33458.4, 8875.0, 2.21565
190729.0, 176396.0, 170338.0, 27696.3, 28071.3, 8986.0, 2.27647
177317.0, 153273.0, 202543.0, 57812.1, 7251.62, 8577.0, 2.34107
177753.0, 168362.0, 215844.0, 45232.2, 10296.6, 8079.0, 4.08083
145519.0, 175426.0, 177686.0, 1568.88, 11043.8, 7347.0, 1.76612
158115.0, 175634.0, 181930.0, 16199.3, 19897.6, 7652.0, 1.90918
156817.0, 174604.0, 188411.0, 24222.8, 20350.5, 5307.0, 2.1768
169131.0, 183613.0, 177847.0, 23634.3, 19479.5, 6839.0, 2.01582
183148.0, 149012.0, 175547.0, 13843.4, 21271.8, 8307.0, 1.96111
162730.0, 146965.0, 165217.0, 12339.5, 13109.5, 10149.0, 2.28642
173086.0, 161469.0, 175422.0, 24027.3, 24311.6, 10603.0, 2.95668
168903.0, 172762.0, 172683.0, 25134.6, 27476.4, 10078.0, 2.19677
175066.0, 172162.0, 173109.0, 21701.9, 29528.9, 9046.0, 2.78725
155727.0, 172762.0, 185218.0, 17813.6, 34197.5, 10542.0, 2.03545
158758.0, 172485.0, 195032.0, 12306.2, 37469.8, 9791.0, 2.47207
140921.0, 168626.0, 177857.0, 0.0, 18967.2, 10408.0, 1.96765
145837.0, 171697.0, 200216.0, 18384.0, 31216.3, 9993.0, 4.12236
143097.0, 162829.0, 197361.0, 37958.0, 47108.6, 9752.0, 3.89674
134311.0, 163733.0, 201342.0, 36983.3, 53541.4, 10123.0, 3.90895
127643.0, 172389.0, 221011.0, 33218.1, 52620.7, 9850.0, 4.02099
84919.0, 169511.0, 175126.0, 5989.34, 15004.8, 9495.0, 1.79773
112841.0, 174227.0, 190568.0, 21612.8, 41869.0, 9534.0, 3.39448
150122.0, 172673.0, 177446.0, 17518.2, 37597.9, 9551.0, 2.7289
173502.0, 173392.0, 141195.0, 11687.1, 26899.9, 8998.0, 2.15968
163295.0, 138952.0, 136311.0, 5917.41, 11907.5, 9217.0, 1.85904
145538.0, 142311.0, 179580.0, 8063.38, 25545.0, 9371.0, 2.51787
131609.0, 137988.0, 188173.0, 5912.13, 36070.6, 9252.0, 3.19877
116093.0, 143695.0, 192887.0, 6002.19, 38779.1, 9388.0, 3.23633
100730.0, 139326.0, 173984.0, 5839.45, 7113.33, 10849.0, 2.40433
95590.8, 157468.0, 145455.0, 6255.32, 0.0, 11982.0, 1.88574
134957.0, 153716.0, 185097.0, 6080.48, 18787.9, 11441.0, 2.47422
126120.0, 149154.0, 199565.0, 6495.41, 22143.8, 11638.0, 2.21261
125627.0, 158766.0, 177883.0, 2240.98, 19372.0, 11480.0, 2.58655
117456.0, 149908.0, 203245.0, 9612.5, 22077.2, 10494.0, 2.50617
96675.4, 141761.0, 162634.0, 7325.52, 18889.8, 11249.0, 2.01601
116506.0, 155092.0, 173134.0, 0.0, 10872.0, 11633.0, 2.40327
115415.0, 157140.0, 184303.0, 0.0, 15070.6, 11725.0, 2.39342
78746.8, 152801.0, 111752.0, 0.0, 681.644, 12013.0, 1.7285
103216.0, 142308.0, 113931.0, 0.0, 980.974, 12018.0, 1.96036
90827.6, 139263.0, 96827.4, 0.0, 2289.19, 12140.0, 1.82045
102000.0, 131861.0, 132941.0, 0.0, 6841.77, 11912.0, 2.03694
136204.0, 142446.0, 171006.0, 0.0, 17637.7, 11297.0, 2.4202
114195.0, 152607.0, 169814.0, 5713.87, 4864.28, 11473.0, 2.04242
146445.0, 149376.0, 99627.2, 0.0, 11283.0, 10672.0, 2.11948
92719.0, 159306.0, 91061.9, 0.0, 2458.74, 11800.0, 1.62473
142078.0, 156647.0, 155779.0, 4307.56, 19619.9, 12097.0, 2.23691
105428.0, 152943.0, 181860.0, 6325.76, 34569.5, 9982.0, 2.49441
102236.0, 143928.0, 179307.0, 6519.57, 31083.9, 11614.0, 2.4381
76643.0, 149349.0, 155832.0, 3340.57, 15356.4, 10966.0, 2.1727
68735.3, 146902.0, 109478.0, 3678.19, 23719.6, 12129.0, 1.68007
107175.0, 147041.0, 180816.0, 9763.8, 32244.2, 12527.0, 2.59703
116144.0, 142120.0, 173316.0, 15297.0, 35214.5, 12343.0, 3.25564
113277.0, 143640.0, 187440.0, 13215.2, 35775.6, 12595.0, 3.23269
84501.5, 145513.0, 187673.0, 17517.4, 42649.8, 11923.0, 3.14143
101215.0, 130856.0, 193412.0, 21353.9, 44293.1, 12897.0, 3.51461
71971.7, 121645.0, 192129.0, 17191.8, 32351.7, 11177.0, 3.38977
60484.4, 125255.0, 185242.0, 34147.8, 62966.5, 11342.0, 3.56192
67530.6, 119345.0, 183565.0, 59874.3, 74423.2, 11213.0, 4.34402
92355.1, 118043.0, 191787.0, 65886.9, 66510.9, 11166.0, 4.81924
88635.5, 120492.0, 194975.0, 67061.8, 68409.5, 11113.0, 4.34364
87092.9, 145612.0, 207016.0, 49603.7, 53124.3, 11070.0, 4.25188
96320.6, 164871.0, 191439.0, 60577.6, 65040.5, 11222.0, 3.78707
46205.2, 153917.0, 199505.0, 4780.34, 28673.4, 10898.0, 2.9788
65321.2, 156673.0, 206650.0, 43723.9, 64305.0, 10638.0, 4.22667
64027.3, 149331.0, 201417.0, 37537.2, 74080.6, 11456.0, 2.82325
72267.5, 168522.0, 212309.0, 57546.9, 68727.3, 11502.0, 4.23803
48739.9, 167125.0, 208599.0, 19174.7, 53758.8, 11261.0, 3.84271
69498.9, 163094.0, 205157.0, 46158.7, 58382.8, 11544.0, 4.14754
61793.2, 176186.0, 222488.0, 52184.7, 60652.6, 11774.0, 4.55623
39727.6, 158745.0, 172958.0, 7902.3, 41210.0, 10362.0, 3.08476
